idx,fname,mae_sample,maxae_sample,abs_err_c12,abs_err_c13,abs_err_c1e,abs_err_c1tr,abs_err_c1tl,abs_err_c1br,abs_err_c1bl
55,,0.008586008571428572,0.0118938,0.0118938,0.0107475,0.00789466,0.00529276,0.0071221,0.007541059999999999,0.009610180000000003
56,,0.00845421857142857,0.01587666,0.0149659,0.01587666,0.0033053699999999997,0.00526955,0.00627577,0.0034753000000000006,0.01001098
57,,0.007684774285714285,0.01316883,0.00124778,0.01316883,0.00700354,0.01104831,0.00667018,0.008296739999999997,0.006358039999999999
58,,0.008170421428571429,0.017721010000000002,0.0019923700000000003,0.017721010000000002,0.0047903,0.01087172,0.00901444,0.01091516,0.001887950000000001
59,,0.006149319999999999,0.01717162,0.0024633500000000004,0.01717162,0.0022103599999999998,0.00908488,0.00383448,0.007341230000000001,0.0009393200000000004
60,,0.005892479999999999,0.016620969999999995,0.0002734199999999999,0.016620969999999995,0.00225502,0.00641007,0.00553851,0.008394119999999998,0.0017552499999999999
61,,0.005808332857142856,0.01511442,0.00471887,0.01511442,0.00293572,0.00838447,0.00110113,0.0026621000000000006,0.005741619999999999
62,,0.005981537142857142,0.016756609999999998,0.00343826,0.016756609999999998,0.00052822,0.00342422,0.00088776,0.0034264499999999976,0.013409240000000001
63,,0.006649112857142858,0.01077824,0.0014550899999999998,0.01077824,0.00623633,0.00780732,0.00636055,0.0032622400000000065,0.010644020000000004
64,,0.007871557142857144,0.013055720000000003,0.00446707,0.01213838,0.0022540399999999997,0.00986244,0.00795588,0.005367370000000003,0.013055720000000003
